TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2026,5,2,21,30,27XX E BROADWAY AVE,Hastings-Sunrise,496461.0632,5456598.6978
Theft from Vehicle,2026,1,14,16,0,27XX E KENT AVE N,Killarney,496205.9137,5450373.8779
Theft from Vehicle,2026,3,16,20,0,27XX EUCLID AVE,Renfrew-Collingwood,496302.8601,5454492.9185
Theft from Vehicle,2026,4,29,13,51,27XX GRANVILLE ST,Fairview,489926.81,5456494.37
Theft from Vehicle,2026,2,24,16,15,2XX E 1ST AVE,Mount Pleasant,492689.5466,5457484.4472
Theft from Vehicle,2026,2,2,8,30,2XX E 1ST AVE,Mount Pleasant,492734.0688,5457446.8743
Theft from Vehicle,2026,1,19,20,30,2XX E 1ST AVE,Strathcona,492907.6319,5457308.4554
Theft from Vehicle,2026,3,1,0,0,2XX E 39TH AVE,Riley Park,492672.3788,5453625.3293
Theft from Vehicle,2026,2,12,1,57,2XX E 4TH AVE,Mount Pleasant,492671.5821,5457172.6665
Theft from Vehicle,2026,2,12,19,20,2XX E 4TH AVE,Mount Pleasant,492677.0012,5457172.5536
Theft from Vehicle,2026,3,24,22,0,2XX E 51ST AVE,Sunset,492597.7035,5452329.285
Theft from Vehicle,2026,5,22,21,0,2XX E 5TH AVE,Mount Pleasant,492678.4461,5457071.843
Theft from Vehicle,2026,2,4,20,0,2XX E 61ST AVE,Sunset,492670.69,5451363.8393
Theft from Vehicle,2026,2,20,11,38,2XX E 63RD AVE,Sunset,492567.0213,5451214.2379
Theft from Vehicle,2026,1,1,15,0,2XX E 6TH AVE,Mount Pleasant,492675.5212,5456971.3509
Theft from Vehicle,2026,2,21,20,30,2XX E 6TH AVE,Mount Pleasant,492675.5212,5456971.3509
Theft from Vehicle,2026,2,6,23,30,2XX E CORDOVA ST,Strathcona,492761.2975,5458837.2714
Theft from Vehicle,2026,4,4,14,25,2XX E GEORGIA ST,Strathcona,492744.755,5458423.9184
Theft from Vehicle,2026,2,28,20,30,2XX E GEORGIA ST,Strathcona,492752.9791,5458423.7334
Theft from Vehicle,2026,5,20,9,0,2XX E GEORGIA ST,Strathcona,492764.3892,5458432.6232
Theft from Vehicle,2026,1,17,15,6,2XX E GEORGIA ST,Strathcona,492779.7266,5458423.132
Theft from Vehicle,2026,2,14,12,30,2XX E GEORGIA ST,Strathcona,492779.7266,5458423.132
Theft from Vehicle,2026,2,27,16,30,2XX E GEORGIA ST,Strathcona,492820.5789,5458431.3596
Theft from Vehicle,2026,2,28,20,57,2XX E GEORGIA ST,Strathcona,492821.8402,5458431.3309
Theft from Vehicle,2026,4,13,20,0,23XX CYPRESS ST,Kitsilano,489240.538,5456907.7892
Theft from Vehicle,2026,3,15,17,18,23XX DUNDAS ST,Grandview-Woodland,495803.3612,5459112.4481
Theft from Vehicle,2026,4,18,22,30,23XX E 28TH AVE,Kensington-Cedar Cottage,495739.7876,5454777.3269
Theft from Vehicle,2026,4,3,21,30,23XX E 39TH AVE,Renfrew-Collingwood,495758.4866,5453572.5192
Theft from Vehicle,2026,4,16,3,50,23XX E 40TH AVE,Renfrew-Collingwood,495771.2493,5453452.0348
Theft from Vehicle,2026,5,21,21,0,23XX E 5TH AVE,Grandview-Woodland,495838.1791,5457001.371
Theft from Vehicle,2026,2,23,17,0,23XX E PENDER ST,Grandview-Woodland,495795.5291,5458605.7767
Theft from Vehicle,2026,6,1,12,0,23XX FRANKLIN ST,Grandview-Woodland,495847.7131,5458799.326
Theft from Vehicle,2026,4,11,19,0,23XX FRASERVIEW DR,Victoria-Fraserview,495696.1927,5450980.0902
Theft from Vehicle,2026,3,10,22,0,23XX KITCHENER ST,Grandview-Woodland,495786.9992,5457694.7095
Theft from Vehicle,2026,3,5,18,0,23XX MCLEAN DR,Grandview-Woodland,494497.3652,5456766.5918
Theft from Vehicle,2026,5,11,17,0,23XX W 18TH AVE,Arbutus Ridge,488373.8852,5455945.7044
Theft from Vehicle,2026,5,10,6,15,23XX W 22ND AVE,Arbutus Ridge,488486.0004,5455571.0528
Theft from Vehicle,2026,4,9,20,0,23XX W 35TH AVE,Arbutus Ridge,488296.8466,5454200.1551
Theft from Vehicle,2026,3,27,10,47,23XX W 51ST AVE,Kerrisdale,488335.5154,5452480.5266
Theft from Vehicle,2026,4,22,21,0,23XX W 6TH AVE,Kitsilano,488527.7927,5457088.5784
Theft from Vehicle,2026,1,10,10,0,24XX ALBERTA ST,Mount Pleasant,491924.9775,5456783.7906
Theft from Vehicle,2026,4,13,14,58,24XX ANCASTER CRES,Victoria-Fraserview,495784.7746,5451069.2583
Theft from Vehicle,2026,3,20,1,30,24XX ASH ST,Fairview,491458.4035,5456827.0603
Theft from Vehicle,2026,5,19,15,33,26XX DUNBAR ST,Kitsilano,486630.8782,5456757.621
Theft from Vehicle,2026,3,5,20,8,26XX E 21ST AVE,Renfrew-Collingwood,496204.5153,5455416.7932
Theft from Vehicle,2026,1,3,11,0,26XX E 49TH AVE,Victoria-Fraserview,496038.5437,5452452.5039
Theft from Vehicle,2026,4,21,18,45,26XX E 4TH AVE,Hastings-Sunrise,496212.526,5457098.0947
Theft from Vehicle,2026,2,23,18,0,26XX E 4TH AVE,Hastings-Sunrise,496286.56,5457107.0199
Theft from Vehicle,2026,4,16,0,34,26XX E 52ND AVE,Victoria-Fraserview,496009.4564,5452128.294
Theft from Vehicle,2026,4,9,6,20,26XX E HASTINGS ST,Hastings-Sunrise,496359.8706,5458708.4331
Theft from Vehicle,2026,4,17,8,0,26XX E PENDER ST,Hastings-Sunrise,496224.9332,5458604.9828
Theft from Vehicle,2026,3,3,11,54,26XX EDGAR CRES,Arbutus Ridge,488071.8954,5454846.9639
Theft from Vehicle,2026,4,24,6,15,26XX MAIN ST,Mount Pleasant,492644.989,5456540.0327
Theft from Vehicle,2026,1,26,19,0,26XX OXFORD ST,Hastings-Sunrise,496226.6942,5459212.037
Theft from Vehicle,2026,4,27,21,30,26XX PARKER ST,Hastings-Sunrise,496222.2528,5458113.1133
Theft from Vehicle,2026,5,2,23,0,26XX TOLMIE ST,West Point Grey,484571.0197,5456810.7565
Theft from Vehicle,2026,2,11,21,50,26XX TRIUMPH ST,Hastings-Sunrise,496226.461,5459012.4758
Theft from Vehicle,2026,4,24,0,0,26XX TRIUMPH ST,Hastings-Sunrise,496367.977,5459031.0595
Theft from Vehicle,2026,2,25,6,35,26XX W 11TH AVE,Kitsilano,487985.5909,5456628.103
Theft from Vehicle,2026,5,19,16,0,26XX W 14TH AVE,Kitsilano,488003.5292,5456304.4985
Theft from Vehicle,2026,1,13,2,4,2X E 42ND AVE,Sunset,492351.4723,5453214.811
Theft from Vehicle,2026,3,30,9,15,2X E CORDOVA ST,Central Business District,492451.4638,5458847.3249
Theft from Vehicle,2026,1,16,17,0,2X E CORDOVA ST,Central Business District,492453.0836,5458847.036
Theft from Vehicle,2026,5,31,12,0,2X POWELL ST,Central Business District,492462.0042,5458936.5333
Theft from Vehicle,2026,2,2,14,30,2X TEMPLETON DR,Grandview-Woodland,495653.0544,5459088.3422
Theft from Vehicle,2026,3,8,0,0,2X W 20TH AVE,Riley Park,492322.5968,5455565.6981
Theft from Vehicle,2026,1,22,8,37,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2026,2,4,20,30,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2026,2,11,3,52,2XX ALEXANDER ST,Strathcona,492770.2976,5459039.1108
Theft from Vehicle,2026,4,5,18,30,2XX ALVIN NAROD MEWS,Central Business District,491275.0832,5457982.1293
Theft from Vehicle,2026,3,20,15,0,2XX BURRARD ST,Central Business District,491602.097,5459484.4883
Theft from Vehicle,2026,4,2,9,0,2XX BURRARD ST,Central Business District,491602.097,5459484.4883
Theft from Vehicle,2026,4,17,17,0,2XX BURRARD ST,Central Business District,491602.097,5459484.4883
Theft from Vehicle,2026,3,7,18,20,2XX BURRARD ST,Central Business District,491602.6577,5459485.0197
Theft from Vehicle,2026,4,15,5,30,2XX CENTRAL ST,Strathcona,492754.3606,5457624.3886
Theft from Vehicle,2026,2,21,5,39,2XX CENTRAL ST,Strathcona,492756.5842,5457623.4532
Theft from Vehicle,2026,4,4,1,0,2XX COLUMBIA ST,Central Business District,492573.0032,5458946.5899
Theft from Vehicle,2026,5,22,2,15,2XX COLUMBIA ST,Central Business District,492573.0032,5458946.5899
Theft from Vehicle,2026,2,9,8,42,2XX DAVIE ST,Central Business District,491124.8142,5457979.1032
Theft from Vehicle,2026,5,5,23,0,2XX DUNLEVY AVE,Strathcona,493071.4675,5458931.4982
Theft from Vehicle,2026,5,1,23,0,2XX E 10TH AVE,Mount Pleasant,492739.4749,5456581.0724
Theft from Vehicle,2026,4,3,1,30,2XX E 10TH AVE,Mount Pleasant,492799.3685,5456588.6692
Theft from Vehicle,2026,3,15,22,30,2XX E 11TH AVE,Mount Pleasant,492654.9572,5456483.4852
Theft from Vehicle,2026,5,19,1,33,2XX E 11TH AVE,Mount Pleasant,492655.7915,5456483.4732
Theft from Vehicle,2026,1,7,23,0,2XX E 13TH AVE,Mount Pleasant,492644.3792,5456282.8537
Theft from Vehicle,2026,2,4,17,0,2XX E 13TH AVE,Mount Pleasant,492644.3792,5456282.8537
Theft from Vehicle,2026,5,18,15,40,2XX E 14TH AVE,Mount Pleasant,492643.3471,5456181.5566
Theft from Vehicle,2026,3,11,16,16,22XX COMMERCIAL DR,Grandview-Woodland,494921.2333,5456902.0606
Theft from Vehicle,2026,4,28,0,0,22XX DUNDAS ST,Grandview-Woodland,495729.6321,5459113.3415
Theft from Vehicle,2026,4,28,5,11,22XX DUNDAS ST,Grandview-Woodland,495729.6321,5459113.3415
Theft from Vehicle,2026,5,4,0,0,22XX E 11TH AVE,Kensington-Cedar Cottage,495755.5902,5456406.7773
Theft from Vehicle,2026,2,12,21,30,22XX E 12TH AVE,Kensington-Cedar Cottage,495697.153,5456298.9103
Theft from Vehicle,2026,1,7,17,30,22XX E 34TH AVE,Kensington-Cedar Cottage,495670.7919,5454021.6455
Theft from Vehicle,2026,4,4,23,0,22XX E 38TH AVE,Kensington-Cedar Cottage,495642.8519,5453676.3108
Theft from Vehicle,2026,2,5,21,0,22XX E 40TH AVE,Kensington-Cedar Cottage,495526.612,5453455.5104
Theft from Vehicle,2026,3,28,5,40,22XX E 48TH AVE,Victoria-Fraserview,495503.8189,5452624.4981
Theft from Vehicle,2026,3,13,20,26,22XX E 50TH AVE,Victoria-Fraserview,495595.4852,5452342.0897
Theft from Vehicle,2026,1,19,15,0,22XX E 50TH AVE,Victoria-Fraserview,495618.5716,5452360.9078
Theft from Vehicle,2026,5,21,21,0,22XX E 51ST AVE,Victoria-Fraserview,495450.8032,5452254.3637
Theft from Vehicle,2026,3,29,15,0,22XX E 51ST AVE,Victoria-Fraserview,495593.7526,5452251.3389
Theft from Vehicle,2026,5,11,22,30,22XX E 8TH AVE,Grandview-Woodland,495629.5571,5456711.4027
Theft from Vehicle,2026,2,21,9,0,22XX E HASTINGS ST,Grandview-Woodland,495740.8608,5458719.3024
Theft from Vehicle,2026,2,25,19,0,22XX FRASER ST,Mount Pleasant,493523.0729,5456938.8942
Theft from Vehicle,2026,1,12,23,30,22XX GARDEN DR,Grandview-Woodland,495776.6421,5456881.1844
Theft from Vehicle,2026,4,30,0,0,22XX GARDEN DR,Grandview-Woodland,495777.0319,5456910.9061
Theft from Vehicle,2026,4,21,12,46,22XX GRANVILLE ST,Fairview,489910.2308,5457026.7596
Theft from Vehicle,2026,2,14,18,30,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495520.2662,5454514.9571
Theft from Vehicle,2026,1,30,21,30,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495656.2136,5454431.192
Theft from Vehicle,2026,1,26,0,0,25XX KITCHENER ST,Hastings-Sunrise,496083.3724,5457723.5702
Theft from Vehicle,2026,1,22,13,13,25XX MAIN ST,Mount Pleasant,492664.2454,5456685.7332
Theft from Vehicle,2026,4,23,16,30,25XX MAPLE ST,Kitsilano,489050.9345,5456757.9846
Theft from Vehicle,2026,4,23,21,30,25XX MAPLE ST,Kitsilano,489050.9345,5456757.9846
Theft from Vehicle,2026,2,3,18,0,25XX MCGILL ST,Hastings-Sunrise,496038.89,5459550.6358
Theft from Vehicle,2026,5,6,21,0,25XX NAPIER ST,Hastings-Sunrise,496031.8395,5458021.4999
Theft from Vehicle,2026,1,27,0,0,25XX NAPIER ST,Hastings-Sunrise,496152.6101,5458021.0675
Theft from Vehicle,2026,5,19,22,0,25XX NORQUAY ST,Renfrew-Collingwood,496097.2226,5454483.3481
Theft from Vehicle,2026,2,22,21,30,25XX TOLMIE ST,West Point Grey,484571.5675,5456833.3334
Theft from Vehicle,2026,2,2,23,0,25XX TURNER ST,Hastings-Sunrise,496118.2785,5458488.9228
Theft from Vehicle,2026,2,4,0,0,25XX VICTORIA DR,Kensington-Cedar Cottage,495208.6418,5456611.4569
Theft from Vehicle,2026,3,5,0,0,25XX VICTORIA DR,Kensington-Cedar Cottage,495208.6867,5456616.1333
Theft from Vehicle,2026,5,10,17,0,25XX W 10TH AVE,Kitsilano,488169.8235,5456703.3702
Theft from Vehicle,2026,5,17,22,0,25XX W 4TH AVE,Kitsilano,488105.1542,5457300.3958
Theft from Vehicle,2026,5,8,22,0,25XX W 4TH AVE,Kitsilano,488190.8825,5457288.7551
Theft from Vehicle,2026,3,3,10,30,25XX W BROADWAY AVE,Kitsilano,488120.0479,5456822.1527
Theft from Vehicle,2026,4,2,15,43,25XX WOODLAND DR,Kensington-Cedar Cottage,494646.1996,5456618.9294
Theft from Vehicle,2026,3,24,18,0,25XX YORK AVE,Kitsilano,488196.0752,5457672.8173
Theft from Vehicle,2026,1,12,21,0,29XX E 7TH AVE,Hastings-Sunrise,496953.253,5456784.0342
Theft from Vehicle,2026,2,24,21,0,29XX FIR ST,Fairview,489731.8688,5456351.0316
Theft from Vehicle,2026,4,25,18,30,29XX FIR ST,Fairview,489731.8688,5456351.0316
Theft from Vehicle,2026,2,7,15,0,29XX GRANVILLE ST,Fairview,489910.446,5456343.1775
Theft from Vehicle,2026,2,18,19,0,29XX GRANVILLE ST,Fairview,489910.4465,5456345.1663
Theft from Vehicle,2026,3,13,21,0,29XX HORLEY ST,Renfrew-Collingwood,496685.8872,5454045.3702
Theft from Vehicle,2026,1,14,14,55,29XX KITCHENER ST,Hastings-Sunrise,496868.6204,5457721.2388
Theft from Vehicle,2026,2,24,19,0,29XX OAK ST,Fairview,490782.937,5456321.4065
Theft from Vehicle,2026,2,12,20,0,29XX SASAMAT ST,West Point Grey,484782.1983,5456501.9531
Theft from Vehicle,2026,2,3,12,27,29XX W 14TH AVE,Kitsilano,487517.5477,5456337.9986
Theft from Vehicle,2026,4,30,5,0,29XX W 19 AVE,Arbutus Ridge,487619.4363,5455860.1106
Theft from Vehicle,2026,6,3,22,0,29XX W 29TH AVE,Dunbar-Southlands,487606.0255,5454826.2787
Theft from Vehicle,2026,2,23,6,15,29XX W 38TH AVE,Dunbar-Southlands,487526.1684,5453884.8611
Theft from Vehicle,2026,6,4,11,22,29XX W 4TH AVE,Kitsilano,487471.1143,5457315.7826
Theft from Vehicle,2026,5,7,4,40,29XX WINDSOR ST,Mount Pleasant,493937.2603,5456224.2723
Theft from Vehicle,2026,3,25,23,0,2XX W 8TH AVE,Mount Pleasant,492008.0003,5456808.9148
Theft from Vehicle,2026,3,14,17,0,2XX W KING EDWARD AVE,Riley Park,491920.7534,5455120.2344
Theft from Vehicle,2026,3,18,9,0,2XX W PENDER ST,Central Business District,491989.8407,5458760.7379
Theft from Vehicle,2026,5,10,18,0,30XX ALBERTA ST,Mount Pleasant,491919.7324,5456212.2529
Theft from Vehicle,2026,2,4,19,30,30XX E 14TH AVE,Renfrew-Collingwood,496980.8634,5456046.814
Theft from Vehicle,2026,1,12,1,30,30XX E 16TH AVE,Renfrew-Collingwood,497035.3854,5455864.6951
Theft from Vehicle,2026,3,10,0,0,30XX E 18TH AVE,Renfrew-Collingwood,496978.3222,5455690.2179
Theft from Vehicle,2026,5,4,18,0,30XX E 18TH AVE,Renfrew-Collingwood,496978.3222,5455690.2179
Theft from Vehicle,2026,5,16,22,0,30XX E 29TH AVE,Renfrew-Collingwood,497054.9216,5454656.3158
Theft from Vehicle,2026,4,27,0,59,22XX PARKER ST,Grandview-Woodland,495775.7352,5458117.9648
Theft from Vehicle,2026,5,27,20,30,22XX PINE ST,Fairview,489578.5475,5457062.7188
Theft from Vehicle,2026,2,19,20,0,22XX SEMLIN DR,Grandview-Woodland,495353.774,5456918.5428
Theft from Vehicle,2026,5,15,0,0,22XX UPLAND DR,Victoria-Fraserview,495527.0725,5451677.7954
Theft from Vehicle,2026,1,3,0,0,22XX VENABLES ST,Grandview-Woodland,495679.3569,5458210.9942
Theft from Vehicle,2026,2,13,1,0,22XX VENABLES ST,Grandview-Woodland,495701.0404,5458210.4434
Theft from Vehicle,2026,5,9,0,0,22XX W 23RD AVE,Arbutus Ridge,488663.4093,5455446.1993
Theft from Vehicle,2026,5,13,0,0,22XX W 43RD AVE,Kerrisdale,488453.3986,5453327.948
Theft from Vehicle,2026,1,8,15,6,23XX BURQUITLAM DR,Victoria-Fraserview,495653.9666,5450750.6174
Theft from Vehicle,2026,4,23,0,0,23XX CHARLES ST,Grandview-Woodland,495785.8356,5457785.773
Theft from Vehicle,2026,3,15,13,0,27XX LAUREL ST,Fairview,490869.1925,5456463.6238
Theft from Vehicle,2026,4,19,13,23,27XX LAUREL ST,Fairview,490869.1925,5456463.6238
Theft from Vehicle,2026,5,17,18,0,27XX MANITOBA ST,Mount Pleasant,492224.274,5456493.5906
Theft from Vehicle,2026,1,29,18,0,27XX NAPIER ST,Hastings-Sunrise,496416.8107,5458020.3981
Theft from Vehicle,2026,3,23,22,0,27XX PENTICTON ST,Renfrew-Collingwood,496148.339,5456368.1044
Theft from Vehicle,2026,2,16,22,3,27XX QUEBEC ST,Mount Pleasant,492506.0106,5456456.5439
Theft from Vehicle,2026,4,23,21,0,27XX TRIUMPH ST,Hastings-Sunrise,496422.4598,5459011.5172
Theft from Vehicle,2026,4,23,23,0,27XX TRIUMPH ST,Hastings-Sunrise,496459.1037,5459020.4852
Theft from Vehicle,2026,2,27,17,0,27XX W 29TH AVE,Arbutus Ridge,487847.4295,5454823.7625
Theft from Vehicle,2026,3,27,15,15,27XX W 6TH AVE,Kitsilano,487889.9758,5457092.2462
Theft from Vehicle,2026,2,24,2,0,27XX WALLACE ST,West Point Grey,486107.3424,5456639.9733
Theft from Vehicle,2026,5,17,20,0,27XX WATSON ST,Mount Pleasant,492696.3122,5456392.9282
Theft from Vehicle,2026,4,22,19,0,27XX WILLIAM ST,Hastings-Sunrise,496412.9985,5457928.2498
Theft from Vehicle,2026,4,23,5,10,27XX WILLIAM ST,Hastings-Sunrise,496435.9121,5457917.4409
Theft from Vehicle,2026,1,19,7,0,27XX WOODLAND DR,Kensington-Cedar Cottage,494643.8751,5456410.8621
Theft from Vehicle,2026,2,15,19,0,28XX BIRCH ST,Fairview,490266.4352,5456422.5409
Theft from Vehicle,2026,1,30,20,0,28XX CAMBIE ST,Mount Pleasant,491642.5942,5456400.1955
Theft from Vehicle,2026,1,9,9,50,28XX E 12TH AVE,Renfrew-Collingwood,496745.8984,5456276.8074
Theft from Vehicle,2026,3,2,17,0,28XX E 24TH AVE,Renfrew-Collingwood,496582.7468,5455111.4799
Theft from Vehicle,2026,3,17,15,0,28XX E 44TH AVE,Killarney,496616.1748,5453054.438
Theft from Vehicle,2026,5,5,21,30,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2026,5,22,5,21,2XX E PENDER ST,Strathcona,492750.3323,5458625.3598
Theft from Vehicle,2026,1,9,8,34,2XX E PENDER ST,Strathcona,492757.3267,5458625.1479
Theft from Vehicle,2026,2,11,11,30,2XX GORE AVE,Strathcona,492889.9827,5458926.4212
Theft from Vehicle,2026,2,11,16,51,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Theft from Vehicle,2026,3,14,15,0,2XX HEATLEY AVE,Strathcona,493498.1638,5458915.0182
Theft from Vehicle,2026,3,28,17,0,2XX INDUSTRIAL AVE,Strathcona,492727.2338,5457520.4551
Theft from Vehicle,2026,3,2,19,0,2XX KEEFER ST,Strathcona,492747.3889,5458525.4461
Theft from Vehicle,2026,3,3,1,32,2XX KEEFER ST,Strathcona,492747.3889,5458525.4461
Theft from Vehicle,2026,3,20,22,0,2XX KEEFER ST,Strathcona,492754.9726,5458525.2227
Theft from Vehicle,2026,4,26,17,45,2XX KEEFER ST,Strathcona,492766.7385,5458544.5295
Theft from Vehicle,2026,3,4,20,16,2XX KEEFER ST,Strathcona,492805.7858,5458523.7301
Theft from Vehicle,2026,3,21,13,36,2XX KEEFER ST,Strathcona,492859.3581,5458522.1543
Theft from Vehicle,2026,5,10,23,30,2XX MAIN ST,Strathcona,492763.5584,5458937.2107
Theft from Vehicle,2026,3,4,18,28,2XX MCLEAN DR,Grandview-Woodland,494618.7578,5458939.7943
Theft from Vehicle,2026,3,18,17,0,2XX NATIONAL AVE,Strathcona,492738.2243,5458019.5335
Theft from Vehicle,2026,5,1,8,15,2XX POWELL ST,Strathcona,492763.1439,5458937.7766
Theft from Vehicle,2026,2,15,16,14,2XX POWELL ST,Strathcona,492765.8292,5458937.6952
Theft from Vehicle,2026,6,2,11,15,2XX POWELL ST,Strathcona,492765.8292,5458937.6952
Theft from Vehicle,2026,4,14,20,30,2XX PRIOR ST,Strathcona,492743.6652,5458222.5311
Theft from Vehicle,2026,1,7,11,15,2XX ROBSON ST,Central Business District,491616.7468,5458417.5634
Theft from Vehicle,2026,1,23,20,0,2XX ROBSON ST,Central Business District,491616.7468,5458417.5634
Theft from Vehicle,2026,5,4,7,0,2XX TROUNCE ALLY,Central Business District,492154.0821,5458977.1309
Theft from Vehicle,2026,5,25,21,0,2XX W 15TH AVE,Mount Pleasant,492016.8464,5456104.2253
Theft from Vehicle,2026,5,10,16,0,33XX E 44TH AVE,Killarney,497492.5271,5453027.6309
Theft from Vehicle,2026,1,19,18,30,33XX E 46TH AVE,Killarney,497505.9514,5452844.7716
Theft from Vehicle,2026,4,5,0,0,24XX W 6TH AVE,Kitsilano,488353.7332,5457100.7027
Theft from Vehicle,2026,1,5,17,30,25XX BALSAM ST,Kitsilano,488362.7619,5456807.9919
Theft from Vehicle,2026,1,19,11,43,25XX CAROLINA ST,Mount Pleasant,493371.2045,5456627.7971
Theft from Vehicle,2026,5,9,9,0,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494925.377,5456547.9172
Theft from Vehicle,2026,5,28,16,0,25XX E 20TH AVE,Renfrew-Collingwood,496196.2183,5455527.3043
Theft from Vehicle,2026,4,20,20,0,25XX E 22ND AVE,Renfrew-Collingwood,496096.5885,5455330.1559
Theft from Vehicle,2026,3,5,23,48,25XX E 25TH AVE,Renfrew-Collingwood,496176.0353,5455024.6365
Theft from Vehicle,2026,1,22,23,0,25XX E 2ND AVE,Hastings-Sunrise,496026.0044,5457299.4825
Theft from Vehicle,2026,1,5,15,30,25XX E PENDER ST,Hastings-Sunrise,496039.0461,5458605.4203
Theft from Vehicle,2026,5,22,0,0,25XX E PENDER ST,Hastings-Sunrise,496084.9789,5458595.0424
Theft from Vehicle,2026,5,5,14,30,25XX GRANVILLE ST,Fairview,489934.8806,5456679.2971
Theft from Vehicle,2026,4,7,22,0,25XX KINGSWAY AVE,Renfrew-Collingwood,496011.1508,5454171.8045
Theft from Vehicle,2026,1,3,22,0,28XX E 7TH AVE,Hastings-Sunrise,496685.9441,5456785.5185
Theft from Vehicle,2026,3,12,18,0,28XX E 7TH AVE,Hastings-Sunrise,496712.1985,5456785.5625
Theft from Vehicle,2026,3,31,13,0,28XX E 8TH AVE,Hastings-Sunrise,496583.8401,5456682.9991
